plasmid,replicate,virus,dilution,uL_virus,RLU_per_well,date,cells,2727_plasmid,amphoB
2800,rep2,Wu_1,0.03125,3.125,77899,220428,high,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.015625,1.5625,32369,220428,high,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.0078125,0.78125,17514,220428,high,10cm_pooled,no_amphoB
2800,rep2,Wu_1,0.00390625,0.390625,8005,220428,high,10cm_pooled,no_amphoB
2800,rep1,Wu_1,0.25,25,7652859,220428,very low,10cm_pooled,amphoB
2800,rep1,Wu_1,0.125,12.5,4211714,220428,very low,10cm_pooled,amphoB
2800,rep1,Wu_1,0.0625,6.25,2404675,220428,very low,10cm_pooled,amphoB
2800,rep1,Wu_1,0.03125,3.125,1148595,220428,very low,10cm_pooled,amphoB
2800,rep1,Wu_1,0.015625,1.5625,490556,220428,very low,10cm_pooled,amphoB
2800,rep1,Wu_1,0.0078125,0.78125,220840,220428,very low,10cm_pooled,amphoB
2800,rep1,Wu_1,0.00390625,0.390625,90166,220428,very low,10cm_pooled,amphoB
2800,rep2,Wu_1,0.25,25,8210874,220428,very low,10cm_pooled,amphoB
2800,rep2,Wu_1,0.125,12.5,4474719,220428,very low,10cm_pooled,amphoB
2800,rep2,Wu_1,0.0625,6.25,2562255,220428,very low,10cm_pooled,amphoB
2800,rep2,Wu_1,0.03125,3.125,1077193,220428,very low,10cm_pooled,amphoB
2800,rep2,Wu_1,0.015625,1.5625,498334,220428,very low,10cm_pooled,amphoB
2800,rep2,Wu_1,0.0078125,0.78125,227363,220428,very low,10cm_pooled,amphoB
2800,rep2,Wu_1,0.00390625,0.390625,111185,220428,very low,10cm_pooled,amphoB
2800,rep1,Wu_1,0.125,12.5,6488579,220428,low,10cm_pooled,amphoB
2800,rep1,Wu_1,0.0625,6.25,3408376,220428,low,10cm_pooled,amphoB
2800,rep1,Wu_1,0.03125,3.125,1657756,220428,low,10cm_pooled,amphoB
2800,rep1,Wu_1,0.015625,1.5625,821972,220428,low,10cm_pooled,amphoB
2800,rep1,Wu_1,0.0078125,0.78125,367695,220428,low,10cm_pooled,amphoB
2800,rep1,Wu_1,0.00390625,0.390625,151331,220428,low,10cm_pooled,amphoB
2800,rep2,Wu_1,0.125,12.5,6343328,220428,low,10cm_pooled,amphoB
2800,rep2,Wu_1,0.0625,6.25,3497060,220428,low,10cm_pooled,amphoB
2800,rep2,Wu_1,0.03125,3.125,1591826,220428,low,10cm_pooled,amphoB
2800,rep2,Wu_1,0.015625,1.5625,784970,220428,low,10cm_pooled,amphoB
2800,rep2,Wu_1,0.0078125,0.78125,310476,220428,low,10cm_pooled,amphoB
2800,rep2,Wu_1,0.00390625,0.390625,130851,220428,low,10cm_pooled,amphoB
2800,rep1,Wu_1,0.125,12.5,9059730,220428,medium,10cm_pooled,amphoB
2800,rep1,Wu_1,0.0625,6.25,4963191,220428,medium,10cm_pooled,amphoB
2800,rep1,Wu_1,0.03125,3.125,2334182,220428,medium,10cm_pooled,amphoB
2800,rep1,Wu_1,0.015625,1.5625,1146669,220428,medium,10cm_pooled,amphoB
2800,rep1,Wu_1,0.0078125,0.78125,486486,220428,medium,10cm_pooled,amphoB
2800,rep1,Wu_1,0.00390625,0.390625,247296,220428,medium,10cm_pooled,amphoB
2800,rep2,Wu_1,0.125,12.5,9058796,220428,medium,10cm_pooled,amphoB
2800,rep2,Wu_1,0.0625,6.25,5056335,220428,medium,10cm_pooled,amphoB
2800,rep2,Wu_1,0.03125,3.125,2432673,220428,medium,10cm_pooled,amphoB
2800,rep2,Wu_1,0.015625,1.5625,1204016,220428,medium,10cm_pooled,amphoB
2800,rep2,Wu_1,0.0078125,0.78125,506094,220428,medium,10cm_pooled,amphoB
2800,rep2,Wu_1,0.00390625,0.390625,246996,220428,medium,10cm_pooled,amphoB
2800,rep1,Wu_1,0.125,12.5,7087131,220428,high,10cm_pooled,amphoB
2800,rep1,Wu_1,0.0625,6.25,3814904,220428,high,10cm_pooled,amphoB
2800,rep1,Wu_1,0.03125,3.125,1694026,220428,high,10cm_pooled,amphoB
2800,rep1,Wu_1,0.015625,1.5625,802895,220428,high,10cm_pooled,amphoB
2800,rep1,Wu_1,0.0078125,0.78125,360192,220428,high,10cm_pooled,amphoB
2800,rep1,Wu_1,0.00390625,0.390625,188752,220428,high,10cm_pooled,amphoB
2800,rep2,Wu_1,0.125,12.5,7490283,220428,high,10cm_pooled,amphoB
2800,rep2,Wu_1,0.0625,6.25,3826713,220428,high,10cm_pooled,amphoB
2800,rep2,Wu_1,0.03125,3.125,1714283,220428,high,10cm_pooled,amphoB
2800,rep2,Wu_1,0.015625,1.5625,875332,220428,high,10cm_pooled,amphoB
2800,rep2,Wu_1,0.0078125,0.78125,369357,220428,high,10cm_pooled,amphoB
2800,rep2,Wu_1,0.00390625,0.390625,167923,220428,high,10cm_pooled,amphoB
