,serum,virus,replicate,concentration,fraction infectivity,cells
95,194C-day-8,post-depletion,2,2.44E-06,0.9361,HEK293T_Ace2_consensus_Kozak
96,192C-day-9,pre-depletion,1,0.04,0.02687,HEK293T_Ace2_clone_C
97,192C-day-9,pre-depletion,1,0.01,0.4533,HEK293T_Ace2_clone_C
98,192C-day-9,pre-depletion,1,0.0025,0.8626,HEK293T_Ace2_clone_C
99,192C-day-9,pre-depletion,1,0.000625,0.8348,HEK293T_Ace2_clone_C
100,192C-day-9,pre-depletion,1,0.0001563,0.7726,HEK293T_Ace2_clone_C
101,192C-day-9,pre-depletion,1,3.91E-05,0.887,HEK293T_Ace2_clone_C
102,192C-day-9,pre-depletion,1,9.77E-06,0.9152,HEK293T_Ace2_clone_C
103,192C-day-9,pre-depletion,1,2.44E-06,0.9702,HEK293T_Ace2_clone_C
104,192C-day-9,pre-depletion,2,0.04,0.01049,HEK293T_Ace2_clone_C
105,192C-day-9,pre-depletion,2,0.01,0.4135,HEK293T_Ace2_clone_C
106,192C-day-9,pre-depletion,2,0.0025,0.7805,HEK293T_Ace2_clone_C
107,192C-day-9,pre-depletion,2,0.000625,0.87,HEK293T_Ace2_clone_C
108,192C-day-9,pre-depletion,2,0.0001563,0.8373,HEK293T_Ace2_clone_C
109,192C-day-9,pre-depletion,2,3.91E-05,1.034,HEK293T_Ace2_clone_C
110,192C-day-9,pre-depletion,2,9.77E-06,0.9167,HEK293T_Ace2_clone_C
111,192C-day-9,pre-depletion,2,2.44E-06,0.8898,HEK293T_Ace2_clone_C
112,192C-day-9,post-depletion,1,0.04,0.9581,HEK293T_Ace2_clone_C
113,192C-day-9,post-depletion,1,0.01,1.259,HEK293T_Ace2_clone_C
114,192C-day-9,post-depletion,1,0.0025,1.138,HEK293T_Ace2_clone_C
115,192C-day-9,post-depletion,1,0.000625,0.8342,HEK293T_Ace2_clone_C
116,192C-day-9,post-depletion,1,0.0001563,0.8981,HEK293T_Ace2_clone_C
117,192C-day-9,post-depletion,1,3.91E-05,0.8172,HEK293T_Ace2_clone_C
118,192C-day-9,post-depletion,1,9.77E-06,0.906,HEK293T_Ace2_clone_C
119,192C-day-9,post-depletion,1,2.44E-06,0.8262,HEK293T_Ace2_clone_C
120,192C-day-9,post-depletion,2,0.04,1.027,HEK293T_Ace2_clone_C
121,192C-day-9,post-depletion,2,0.01,1.173,HEK293T_Ace2_clone_C
122,192C-day-9,post-depletion,2,0.0025,1.032,HEK293T_Ace2_clone_C
123,192C-day-9,post-depletion,2,0.000625,0.873,HEK293T_Ace2_clone_C
124,192C-day-9,post-depletion,2,0.0001563,0.7637,HEK293T_Ace2_clone_C
125,192C-day-9,post-depletion,2,3.91E-05,0.942,HEK293T_Ace2_clone_C
126,192C-day-9,post-depletion,2,9.77E-06,0.9656,HEK293T_Ace2_clone_C
127,192C-day-9,post-depletion,2,2.44E-06,0.8485,HEK293T_Ace2_clone_C
128,194C-day-8,pre-depletion,1,0.04,-5.32E-05,HEK293T_Ace2_clone_C
129,194C-day-8,pre-depletion,1,0.01,0.0007644,HEK293T_Ace2_clone_C
130,194C-day-8,pre-depletion,1,0.0025,0.09046,HEK293T_Ace2_clone_C
131,194C-day-8,pre-depletion,1,0.000625,0.4642,HEK293T_Ace2_clone_C
132,194C-day-8,pre-depletion,1,0.0001563,0.7489,HEK293T_Ace2_clone_C
133,194C-day-8,pre-depletion,1,3.91E-05,0.9297,HEK293T_Ace2_clone_C
134,194C-day-8,pre-depletion,1,9.77E-06,0.9146,HEK293T_Ace2_clone_C
135,194C-day-8,pre-depletion,1,2.44E-06,0.8649,HEK293T_Ace2_clone_C
136,194C-day-8,pre-depletion,2,0.04,2.46E-05,HEK293T_Ace2_clone_C
137,194C-day-8,pre-depletion,2,0.01,0.0006254,HEK293T_Ace2_clone_C
138,194C-day-8,pre-depletion,2,0.0025,0.06906,HEK293T_Ace2_clone_C
139,194C-day-8,pre-depletion,2,0.000625,0.4923,HEK293T_Ace2_clone_C
140,194C-day-8,pre-depletion,2,0.0001563,0.7957,HEK293T_Ace2_clone_C
141,194C-day-8,pre-depletion,2,3.91E-05,1.044,HEK293T_Ace2_clone_C
142,194C-day-8,pre-depletion,2,9.77E-06,0.9373,HEK293T_Ace2_clone_C
143,194C-day-8,pre-depletion,2,2.44E-06,0.8512,HEK293T_Ace2_clone_C
144,194C-day-8,post-depletion,1,0.04,0.3979,HEK293T_Ace2_clone_C
145,194C-day-8,post-depletion,1,0.01,0.6469,HEK293T_Ace2_clone_C
146,194C-day-8,post-depletion,1,0.0025,0.9395,HEK293T_Ace2_clone_C
147,194C-day-8,post-depletion,1,0.000625,1.033,HEK293T_Ace2_clone_C
148,194C-day-8,post-depletion,1,0.0001563,0.8328,HEK293T_Ace2_clone_C
149,194C-day-8,post-depletion,1,3.91E-05,1.008,HEK293T_Ace2_clone_C
150,194C-day-8,post-depletion,1,9.77E-06,0.9311,HEK293T_Ace2_clone_C
151,194C-day-8,post-depletion,1,2.44E-06,0.8983,HEK293T_Ace2_clone_C
152,194C-day-8,post-depletion,2,0.04,0.4958,HEK293T_Ace2_clone_C
153,194C-day-8,post-depletion,2,0.01,0.7165,HEK293T_Ace2_clone_C
154,194C-day-8,post-depletion,2,0.0025,0.9786,HEK293T_Ace2_clone_C
155,194C-day-8,post-depletion,2,0.000625,1.018,HEK293T_Ace2_clone_C
156,194C-day-8,post-depletion,2,0.0001563,1.089,HEK293T_Ace2_clone_C
157,194C-day-8,post-depletion,2,3.91E-05,0.9532,HEK293T_Ace2_clone_C
158,194C-day-8,post-depletion,2,9.77E-06,0.9921,HEK293T_Ace2_clone_C
159,194C-day-8,post-depletion,2,2.44E-06,0.9361,HEK293T_Ace2_clone_C
