,serum,virus,replicate,concentration,fraction infectivity,cells
0,63C-day-10,pre-depletion,1,0.04,5.05E-06,low
1,63C-day-10,pre-depletion,1,0.01,1.36E-06,low
2,63C-day-10,pre-depletion,1,0.0025,4.81E-07,low
3,63C-day-10,pre-depletion,1,0.000625,0.001127481,low
4,63C-day-10,pre-depletion,1,0.0001563,0.084120078,low
5,63C-day-10,pre-depletion,1,3.91E-05,0.592198627,low
6,63C-day-10,pre-depletion,1,9.77E-06,0.960191603,low
7,63C-day-10,pre-depletion,1,2.44E-06,0.860931756,low
8,63C-day-10,pre-depletion,2,0.04,2.30E-06,low
9,63C-day-10,pre-depletion,2,0.01,1.36E-06,low
10,63C-day-10,pre-depletion,2,0.0025,-5.29E-06,low
11,63C-day-10,pre-depletion,2,0.000625,0.000107872,low
12,63C-day-10,pre-depletion,2,0.0001563,0.084825039,low
13,63C-day-10,pre-depletion,2,3.91E-05,0.571163739,low
14,63C-day-10,pre-depletion,2,9.77E-06,0.817209962,low
15,63C-day-10,pre-depletion,2,2.44E-06,0.879415189,low
16,63C-day-10,post-depletion,1,0.04,0.032885476,low
17,63C-day-10,post-depletion,1,0.01,0.11323033,low
18,63C-day-10,post-depletion,1,0.0025,0.250549887,low
19,63C-day-10,post-depletion,1,0.000625,0.606834336,low
20,63C-day-10,post-depletion,1,0.0001563,0.958029623,low
21,63C-day-10,post-depletion,1,3.91E-05,1.050101055,low
22,63C-day-10,post-depletion,1,9.77E-06,0.882188866,low
23,63C-day-10,post-depletion,1,2.44E-06,0.978562561,low
24,63C-day-10,post-depletion,2,0.04,0.031063841,low
25,63C-day-10,post-depletion,2,0.01,0.114834281,low
26,63C-day-10,post-depletion,2,0.0025,0.275209236,low
27,63C-day-10,post-depletion,2,0.000625,0.614038588,low
28,63C-day-10,post-depletion,2,0.0001563,0.977109823,low
29,63C-day-10,post-depletion,2,3.91E-05,0.972577712,low
30,63C-day-10,post-depletion,2,9.77E-06,1.00952293,low
31,63C-day-10,post-depletion,2,2.44E-06,0.954595255,low
32,64C-day-15,pre-depletion,1,0.04,5.97E-06,low
33,64C-day-15,pre-depletion,1,0.01,2.27E-06,low
34,64C-day-15,pre-depletion,1,0.0025,5.29E-06,low
35,64C-day-15,pre-depletion,1,0.000625,0.03692216,low
36,64C-day-15,pre-depletion,1,0.0001563,0.372492429,low
37,64C-day-15,pre-depletion,1,3.91E-05,0.785137893,low
38,64C-day-15,pre-depletion,1,9.77E-06,0.815318474,low
39,64C-day-15,pre-depletion,1,2.44E-06,0.867324776,low
40,64C-day-15,pre-depletion,2,0.04,-4.14E-06,low
41,64C-day-15,pre-depletion,2,0.01,7.70E-06,low
42,64C-day-15,pre-depletion,2,0.0025,0.000319646,low
43,64C-day-15,pre-depletion,2,0.000625,0.034852403,low
44,64C-day-15,pre-depletion,2,0.0001563,0.371651819,low
45,64C-day-15,pre-depletion,2,3.91E-05,0.646485317,low
46,64C-day-15,pre-depletion,2,9.77E-06,0.803427059,low
47,64C-day-15,pre-depletion,2,2.44E-06,0.955263832,low
48,64C-day-15,post-depletion,1,0.04,0.070101242,low
49,64C-day-15,post-depletion,1,0.01,0.21590041,low
50,64C-day-15,post-depletion,1,0.0025,0.379214758,low
51,64C-day-15,post-depletion,1,0.000625,0.425364621,low
52,64C-day-15,post-depletion,1,0.0001563,0.657244403,low
53,64C-day-15,post-depletion,1,3.91E-05,0.904542404,low
54,64C-day-15,post-depletion,1,9.77E-06,0.9144803,low
55,64C-day-15,post-depletion,1,2.44E-06,1.023936872,low
56,64C-day-15,post-depletion,2,0.04,0.087292809,low
57,64C-day-15,post-depletion,2,0.01,0.226658662,low
58,64C-day-15,post-depletion,2,0.0025,0.358577658,low
59,64C-day-15,post-depletion,2,0.000625,0.404252311,low
