,serum,virus,replicate,concentration,fraction infectivity,cells
60,64C-day-15,post-depletion,2,0.0001563,0.623659058,low
61,64C-day-15,post-depletion,2,3.91E-05,0.819675215,low
62,64C-day-15,post-depletion,2,9.77E-06,0.881851616,low
63,64C-day-15,post-depletion,2,2.44E-06,0.948841827,low
64,99C-day-27,pre-depletion,1,0.04,8.19E-06,low
65,99C-day-27,pre-depletion,1,0.01,3.04E-06,low
66,99C-day-27,pre-depletion,1,0.0025,2.19E-06,low
67,99C-day-27,pre-depletion,1,0.000625,0.024735654,low
68,99C-day-27,pre-depletion,1,0.0001563,0.405566651,low
69,99C-day-27,pre-depletion,1,3.91E-05,0.78421758,low
70,99C-day-27,pre-depletion,1,9.77E-06,0.977823746,low
71,99C-day-27,pre-depletion,1,2.44E-06,1.085338469,low
72,99C-day-27,pre-depletion,2,0.04,6.17E-06,low
73,99C-day-27,pre-depletion,2,0.01,-2.80E-06,low
74,99C-day-27,pre-depletion,2,0.0025,4.96E-06,low
75,99C-day-27,pre-depletion,2,0.000625,0.035968301,low
76,99C-day-27,pre-depletion,2,0.0001563,0.401786015,low
77,99C-day-27,pre-depletion,2,3.91E-05,0.779368313,low
78,99C-day-27,pre-depletion,2,9.77E-06,1.015057791,low
79,99C-day-27,pre-depletion,2,2.44E-06,1.128769323,low
80,99C-day-27,post-depletion,1,0.04,0.121862076,low
81,99C-day-27,post-depletion,1,0.01,0.292190243,low
82,99C-day-27,post-depletion,1,0.0025,0.304316769,low
83,99C-day-27,post-depletion,1,0.000625,0.417508154,low
84,99C-day-27,post-depletion,1,0.0001563,0.729262273,low
85,99C-day-27,post-depletion,1,3.91E-05,0.93259128,low
86,99C-day-27,post-depletion,1,9.77E-06,1.069211894,low
87,99C-day-27,post-depletion,1,2.44E-06,1.095804277,low
88,99C-day-27,post-depletion,2,0.04,0.12060311,low
89,99C-day-27,post-depletion,2,0.01,0.280316978,low
90,99C-day-27,post-depletion,2,0.0025,0.283748137,low
91,99C-day-27,post-depletion,2,0.000625,0.402943654,low
92,99C-day-27,post-depletion,2,0.0001563,0.69203105,low
93,99C-day-27,post-depletion,2,3.91E-05,0.542432535,low
94,99C-day-27,post-depletion,2,9.77E-06,0.9659837,low
95,99C-day-27,post-depletion,2,2.44E-06,1.12381469,low
96,108C-day-18,pre-depletion,1,0.04,-5.61E-07,low
97,108C-day-18,pre-depletion,1,0.01,3.05E-06,low
98,108C-day-18,pre-depletion,1,0.0025,2.89E-06,low
99,108C-day-18,pre-depletion,1,0.000625,0.000949238,low
100,108C-day-18,pre-depletion,1,0.0001563,0.159215383,low
101,108C-day-18,pre-depletion,1,3.91E-05,0.715100422,low
102,108C-day-18,pre-depletion,1,9.77E-06,0.973664189,low
103,108C-day-18,pre-depletion,1,2.44E-06,1.088112413,low
104,108C-day-18,pre-depletion,2,0.04,-1.23E-06,low
105,108C-day-18,pre-depletion,2,0.01,2.32E-06,low
106,108C-day-18,pre-depletion,2,0.0025,-5.74E-07,low
107,108C-day-18,pre-depletion,2,0.000625,0.001953985,low
108,108C-day-18,pre-depletion,2,0.0001563,0.188723226,low
109,108C-day-18,pre-depletion,2,3.91E-05,0.700019063,low
110,108C-day-18,pre-depletion,2,9.77E-06,0.95723399,low
111,108C-day-18,pre-depletion,2,2.44E-06,1.104218182,low
112,108C-day-18,post-depletion,1,0.04,0.015725409,low
113,108C-day-18,post-depletion,1,0.01,0.101323174,low
114,108C-day-18,post-depletion,1,0.0025,0.223619544,low
115,108C-day-18,post-depletion,1,0.000625,0.424023559,low
116,108C-day-18,post-depletion,1,0.0001563,0.712245994,low
117,108C-day-18,post-depletion,1,3.91E-05,0.929091458,low
118,108C-day-18,post-depletion,1,9.77E-06,1.037748498,low
119,108C-day-18,post-depletion,1,2.44E-06,1.12679901,low
120,108C-day-18,post-depletion,2,0.04,0.015603617,low
121,108C-day-18,post-depletion,2,0.01,0.085189005,low
122,108C-day-18,post-depletion,2,0.0025,0.197496086,low
123,108C-day-18,post-depletion,2,0.000625,0.437061784,low
124,108C-day-18,post-depletion,2,0.0001563,0.759543386,low
125,108C-day-18,post-depletion,2,3.91E-05,0.876269318,low
126,108C-day-18,post-depletion,2,9.77E-06,0.991571219,low
127,108C-day-18,post-depletion,2,2.44E-06,1.076497985,low
128,120C-day-10,pre-depletion,1,0.04,1.04E-05,low
129,120C-day-10,pre-depletion,1,0.01,3.41E-06,low
130,120C-day-10,pre-depletion,1,0.0025,5.18E-06,low
131,120C-day-10,pre-depletion,1,0.000625,0.000967868,low
132,120C-day-10,pre-depletion,1,0.0001563,0.070728031,low
133,120C-day-10,pre-depletion,1,3.91E-05,0.457175338,low
134,120C-day-10,pre-depletion,1,9.77E-06,0.803925546,low
135,120C-day-10,pre-depletion,1,2.44E-06,0.870741813,low
136,120C-day-10,pre-depletion,2,0.04,1.04E-05,low
137,120C-day-10,pre-depletion,2,0.01,2.05E-06,low
138,120C-day-10,pre-depletion,2,0.0025,-3.70E-06,low
139,120C-day-10,pre-depletion,2,0.000625,0.001717499,low
140,120C-day-10,pre-depletion,2,0.0001563,0.084333588,low
141,120C-day-10,pre-depletion,2,3.91E-05,0.490312471,low
142,120C-day-10,pre-depletion,2,9.77E-06,0.736008432,low
143,120C-day-10,pre-depletion,2,2.44E-06,0.818019199,low
144,120C-day-10,post-depletion,1,0.04,0.050844207,low
145,120C-day-10,post-depletion,1,0.01,0.125165173,low
146,120C-day-10,post-depletion,1,0.0025,0.240794837,low
147,120C-day-10,post-depletion,1,0.000625,0.382270571,low
148,120C-day-10,post-depletion,1,0.0001563,0.574691864,low
149,120C-day-10,post-depletion,1,3.91E-05,0.786424029,low
150,120C-day-10,post-depletion,1,9.77E-06,0.840423787,low
151,120C-day-10,post-depletion,1,2.44E-06,0.86994994,low
152,120C-day-10,post-depletion,2,0.04,0.050096731,low
153,120C-day-10,post-depletion,2,0.01,0.110130309,low
154,120C-day-10,post-depletion,2,0.0025,0.259250703,low
155,120C-day-10,post-depletion,2,0.000625,0.404483671,low
156,120C-day-10,post-depletion,2,0.0001563,0.536525383,low
157,120C-day-10,post-depletion,2,3.91E-05,0.749633278,low
158,120C-day-10,post-depletion,2,9.77E-06,0.900114122,low
159,120C-day-10,post-depletion,2,2.44E-06,0.955781339,low
160,180C-day-36,pre-depletion,1,0.04,4.90E-06,low
161,180C-day-36,pre-depletion,1,0.01,1.43E-05,low
162,180C-day-36,pre-depletion,1,0.0025,2.22E-06,low
163,180C-day-36,pre-depletion,1,0.000625,0.006736135,low
164,180C-day-36,pre-depletion,1,0.0001563,0.168189565,low
165,180C-day-36,pre-depletion,1,3.91E-05,0.597317286,low
166,180C-day-36,pre-depletion,1,9.77E-06,0.822136684,low
167,180C-day-36,pre-depletion,1,2.44E-06,0.88860942,low
168,180C-day-36,pre-depletion,2,0.04,7.08E-06,low
169,180C-day-36,pre-depletion,2,0.01,6.14E-06,low
170,180C-day-36,pre-depletion,2,0.0025,5.18E-06,low
171,180C-day-36,pre-depletion,2,0.000625,0.007649646,low
172,180C-day-36,pre-depletion,2,0.0001563,0.170882173,low
173,180C-day-36,pre-depletion,2,3.91E-05,0.590211957,low
174,180C-day-36,pre-depletion,2,9.77E-06,0.899380359,low
175,180C-day-36,pre-depletion,2,2.44E-06,0.846944627,low
176,180C-day-36,post-depletion,1,0.04,0.046766864,low
177,180C-day-36,post-depletion,1,0.01,0.136241339,low
178,180C-day-36,post-depletion,1,0.0025,0.268376448,low
179,180C-day-36,post-depletion,1,0.000625,0.352147402,low
180,180C-day-36,post-depletion,1,0.0001563,0.653269516,low
181,180C-day-36,post-depletion,1,3.91E-05,0.794710945,low
182,180C-day-36,post-depletion,1,9.77E-06,0.928235377,low
183,180C-day-36,post-depletion,1,2.44E-06,0.900067909,low
184,180C-day-36,post-depletion,2,0.04,0.039849982,low
185,180C-day-36,post-depletion,2,0.01,0.126037452,low
186,180C-day-36,post-depletion,2,0.0025,0.2813542,low
187,180C-day-36,post-depletion,2,0.000625,0.349432828,low
188,180C-day-36,post-depletion,2,0.0001563,0.585270571,low
189,180C-day-36,post-depletion,2,3.91E-05,0.767673123,low
190,180C-day-36,post-depletion,2,9.77E-06,0.899202529,low
191,180C-day-36,post-depletion,2,2.44E-06,0.915380071,low
192,192C-day-9,pre-depletion,1,0.04,-1.47E-06,low
193,192C-day-9,pre-depletion,1,0.01,2.07E-05,low
194,192C-day-9,pre-depletion,1,0.0025,3.97E-05,low
195,192C-day-9,pre-depletion,1,0.000625,0.002220095,low
196,192C-day-9,pre-depletion,1,0.0001563,0.235052594,low
197,192C-day-9,pre-depletion,1,3.91E-05,0.704809542,low
198,192C-day-9,pre-depletion,1,9.77E-06,0.839592994,low
199,192C-day-9,pre-depletion,1,2.44E-06,0.874859015,low
200,192C-day-9,pre-depletion,2,0.04,5.61E-05,low
201,192C-day-9,pre-depletion,2,0.01,4.52E-05,low
202,192C-day-9,pre-depletion,2,0.0025,3.80E-05,low
203,192C-day-9,pre-depletion,2,0.000625,0.002532303,low
204,192C-day-9,pre-depletion,2,0.0001563,0.232131954,low
205,192C-day-9,pre-depletion,2,3.91E-05,0.663745938,low
206,192C-day-9,pre-depletion,2,9.77E-06,0.79566193,low
207,192C-day-9,pre-depletion,2,2.44E-06,0.892906619,low
208,192C-day-9,post-depletion,1,0.04,0.069436947,low
209,192C-day-9,post-depletion,1,0.01,0.186656909,low
210,192C-day-9,post-depletion,1,0.0025,0.380584842,low
211,192C-day-9,post-depletion,1,0.000625,0.705930422,low
212,192C-day-9,post-depletion,1,0.0001563,0.811602955,low
213,192C-day-9,post-depletion,1,3.91E-05,0.866576741,low
214,192C-day-9,post-depletion,1,9.77E-06,0.912322979,low
215,192C-day-9,post-depletion,1,2.44E-06,1.010062615,low
216,192C-day-9,post-depletion,2,0.04,0.059761828,low
217,192C-day-9,post-depletion,2,0.01,0.203440612,low
218,192C-day-9,post-depletion,2,0.0025,0.374890935,low
219,192C-day-9,post-depletion,2,0.000625,0.689581205,low
220,192C-day-9,post-depletion,2,0.0001563,0.768392592,low
221,192C-day-9,post-depletion,2,3.91E-05,0.884021645,low
222,192C-day-9,post-depletion,2,9.77E-06,0.914348153,low
223,192C-day-9,post-depletion,2,2.44E-06,0.946350219,low
224,194C-day-8,pre-depletion,1,0.04,0.000237932,low
225,194C-day-8,pre-depletion,1,0.01,0.000156372,low
226,194C-day-8,pre-depletion,1,0.0025,0.000200033,low
227,194C-day-8,pre-depletion,1,0.000625,0.006020634,low
228,194C-day-8,pre-depletion,1,0.0001563,0.242116203,low
229,194C-day-8,pre-depletion,1,3.91E-05,0.612383391,low
230,194C-day-8,pre-depletion,1,9.77E-06,0.812637167,low
231,194C-day-8,pre-depletion,1,2.44E-06,0.906245035,low
232,194C-day-8,pre-depletion,2,0.04,1.35E-05,low
233,194C-day-8,pre-depletion,2,0.01,-2.38E-05,low
234,194C-day-8,pre-depletion,2,0.0025,1.57E-05,low
235,194C-day-8,pre-depletion,2,0.000625,0.008593042,low
236,194C-day-8,pre-depletion,2,0.0001563,0.271994544,low
237,194C-day-8,pre-depletion,2,3.91E-05,0.643264929,low
238,194C-day-8,pre-depletion,2,9.77E-06,0.762206369,low
239,194C-day-8,pre-depletion,2,2.44E-06,0.867032275,low
240,194C-day-8,post-depletion,1,0.04,0.07795826,low
241,194C-day-8,post-depletion,1,0.01,0.230730322,low
242,194C-day-8,post-depletion,1,0.0025,0.417888672,low
243,194C-day-8,post-depletion,1,0.000625,0.572717794,low
244,194C-day-8,post-depletion,1,0.0001563,0.656450059,low
245,194C-day-8,post-depletion,1,3.91E-05,0.802715864,low
246,194C-day-8,post-depletion,1,9.77E-06,0.909644055,low
247,194C-day-8,post-depletion,1,2.44E-06,0.899675397,low
248,194C-day-8,post-depletion,2,0.04,0.0762926,low
249,194C-day-8,post-depletion,2,0.01,0.262049856,low
250,194C-day-8,post-depletion,2,0.0025,0.430587208,low
251,194C-day-8,post-depletion,2,0.000625,0.560194414,low
252,194C-day-8,post-depletion,2,0.0001563,0.733250624,low
253,194C-day-8,post-depletion,2,3.91E-05,0.851853354,low
254,194C-day-8,post-depletion,2,9.77E-06,0.875744428,low
255,194C-day-8,post-depletion,2,2.44E-06,0.948643539,low
256,215C-day-19,pre-depletion,1,0.04,-1.11E-07,low
257,215C-day-19,pre-depletion,1,0.01,3.17E-06,low
258,215C-day-19,pre-depletion,1,0.0025,1.04E-06,low
259,215C-day-19,pre-depletion,1,0.000625,0.009473667,low
260,215C-day-19,pre-depletion,1,0.0001563,0.404626485,low
261,215C-day-19,pre-depletion,1,3.91E-05,0.785267223,low
262,215C-day-19,pre-depletion,1,9.77E-06,0.908020098,low
263,215C-day-19,pre-depletion,1,2.44E-06,0.898397726,low
264,215C-day-19,pre-depletion,2,0.04,-1.89E-06,low
265,215C-day-19,pre-depletion,2,0.01,3.72E-06,low
266,215C-day-19,pre-depletion,2,0.0025,-7.43E-07,low
267,215C-day-19,pre-depletion,2,0.000625,0.010536259,low
268,215C-day-19,pre-depletion,2,0.0001563,0.397740862,low
269,215C-day-19,pre-depletion,2,3.91E-05,0.788301463,low
270,215C-day-19,pre-depletion,2,9.77E-06,0.863477827,low
271,215C-day-19,pre-depletion,2,2.44E-06,0.906093678,low
272,215C-day-19,post-depletion,1,0.04,0.0698974,low
273,215C-day-19,post-depletion,1,0.01,0.222023704,low
274,215C-day-19,post-depletion,1,0.0025,0.416249343,low
275,215C-day-19,post-depletion,1,0.000625,0.777865651,low
276,215C-day-19,post-depletion,1,0.0001563,0.96901025,low
277,215C-day-19,post-depletion,1,3.91E-05,0.934744858,low
278,215C-day-19,post-depletion,1,9.77E-06,0.900956635,low
279,215C-day-19,post-depletion,1,2.44E-06,0.945857714,low
280,215C-day-19,post-depletion,2,0.04,0.066651923,low
281,215C-day-19,post-depletion,2,0.01,0.205139929,low
282,215C-day-19,post-depletion,2,0.0025,0.405693107,low
283,215C-day-19,post-depletion,2,0.000625,0.737094373,low
284,215C-day-19,post-depletion,2,0.0001563,0.93727003,low
285,215C-day-19,post-depletion,2,3.91E-05,0.92350471,low
286,215C-day-19,post-depletion,2,9.77E-06,0.852903263,low
287,215C-day-19,post-depletion,2,2.44E-06,0.933815736,low
288,229C-day-29,pre-depletion,1,0.04,-1.45E-06,low
289,229C-day-29,pre-depletion,1,0.01,-3.45E-06,low
290,229C-day-29,pre-depletion,1,0.0025,2.23E-06,low
291,229C-day-29,pre-depletion,1,0.000625,0.005572826,low
292,229C-day-29,pre-depletion,1,0.0001563,0.272248112,low
293,229C-day-29,pre-depletion,1,3.91E-05,0.645370695,low
294,229C-day-29,pre-depletion,1,9.77E-06,0.785948774,low
295,229C-day-29,pre-depletion,1,2.44E-06,0.846927512,low
296,229C-day-29,pre-depletion,2,0.04,1.67E-06,low
297,229C-day-29,pre-depletion,2,0.01,2.07E-06,low
298,229C-day-29,pre-depletion,2,0.0025,-1.49E-07,low
299,229C-day-29,pre-depletion,2,0.000625,0.004753198,low
300,229C-day-29,pre-depletion,2,0.0001563,0.239673252,low
301,229C-day-29,pre-depletion,2,3.91E-05,0.636077895,low
302,229C-day-29,pre-depletion,2,9.77E-06,0.752497484,low
303,229C-day-29,pre-depletion,2,2.44E-06,0.819889969,low
304,229C-day-29,post-depletion,1,0.04,0.073313387,low
305,229C-day-29,post-depletion,1,0.01,0.231123959,low
306,229C-day-29,post-depletion,1,0.0025,0.406345366,low
307,229C-day-29,post-depletion,1,0.000625,0.622655294,low
308,229C-day-29,post-depletion,1,0.0001563,0.773507737,low
309,229C-day-29,post-depletion,1,3.91E-05,0.843633453,low
310,229C-day-29,post-depletion,1,9.77E-06,0.836960229,low
311,229C-day-29,post-depletion,1,2.44E-06,0.882216368,low
312,229C-day-29,post-depletion,2,0.04,0.064291495,low
313,229C-day-29,post-depletion,2,0.01,0.212702339,low
314,229C-day-29,post-depletion,2,0.0025,0.386662273,low
315,229C-day-29,post-depletion,2,0.000625,0.56774636,low
316,229C-day-29,post-depletion,2,0.0001563,0.696200857,low
317,229C-day-29,post-depletion,2,3.91E-05,0.78965944,low
318,229C-day-29,post-depletion,2,9.77E-06,0.827765882,low
319,229C-day-29,post-depletion,2,2.44E-06,0.93037298,low
